feature,importance
cat__location_Saint JoséphineBourg,0.0003064540610396776
cat__location_Menardnec,0.000299625141693505
cat__preferred_category_fashion,1.1817358097446588e-05
cat__preferred_category_sports,1.567365527341381e-07
cat__location_Breton-sur-Lemoine,0.0
cat__location_Breton,0.0
cat__location_Boyer,0.0
cat__location_Bouviernec,0.0
cat__location_BouvetBourg,0.0
cat__location_Boutin,0.0
cat__location_Bousquet-sur-De Oliveira,0.0
cat__location_Bousquet,0.0
cat__location_BourgeoisVille,0.0
cat__location_Bourgeois,0.0
cat__location_Boulay,0.0
cat__location_Boulanger-sur-Guyon,0.0
cat__location_Carpentier-sur-Mer,0.0
cat__location_Carpentier,0.0
cat__location_Caronnec,0.0
cat__location_Caron-sur-Hoareau,0.0
cat__location_Caron,0.0
cat__location_Carlier-sur-Dupuy,0.0
cat__location_Camus,0.0
cat__location_Bègue-les-Bains,0.0
cat__location_BrunetBourg,0.0
cat__location_Brunel-sur-Mer,0.0
cat__location_Brunel,0.0
cat__location_Bruneau,0.0
cat__location_Chrétien-les-Bains,0.0
cat__location_Chevallierdan,0.0
cat__location_Chevallierboeuf,0.0
cat__location_Chevalier,0.0
cat__location_ChauvinBourg,0.0
cat__location_Chauvin,0.0
cat__location_Chauvetdan,0.0
cat__location_Chauvet-sur-Toussaint,0.0
cat__location_Chauveau-sur-Joly,0.0
cat__location_Chartier,0.0
cat__location_Charrier-la-Forêt,0.0
cat__location_Charpentier,0.0
cat__location_CharlesBourg,0.0
cat__location_Charles-sur-Mer,0.0
cat__location_Carre-les-Bains,0.0
cat__location_Coulon,0.0
cat__location_Costenec,0.0
cat__location_Coste,0.0
cat__location_Costa,0.0
cat__location_Cordier-sur-Mer,0.0
cat__location_Cordier,0.0
cat__location_Collet-la-Forêt,0.0
cat__location_Colinboeuf,0.0
cat__location_Colin,0.0
cat__location_Colas-sur-Mer,0.0
cat__location_Colas-sur-Foucher,0.0
cat__location_Cohen-la-Forêt,0.0
cat__location_Cohen,0.0
cat__location_Clément,0.0
cat__location_Clerc,0.0
cat__location_Delattredan,0.0
cat__location_Delattre-sur-Bazin,0.0
cat__location_Delahaye,0.0
cat__location_De Sousa,0.0
cat__location_De Oliveira,0.0
cat__location_Danielboeuf,0.0
cat__location_Daniel,0.0
cat__location_Da Silvanec,0.0
cat__location_Da Silva,0.0
cat__location_Da Costa-la-Forêt,0.0
cat__location_Couturiernec,0.0
cat__location_CouturierVille,0.0
cat__location_CouturierBourg,0.0
cat__location_Couturier,0.0
cat__location_Dijoux,0.0
cat__location_Didier-sur-Mer,0.0
cat__location_Didier-les-Bains,0.0
cat__location_Didier,0.0
cat__location_Diaz-les-Bains,0.0
cat__location_Diallo,0.0
cat__location_Devaux,0.0
cat__location_Descamps,0.0
cat__location_Delorme-sur-Mer,0.0
cat__location_Delmas-sur-Mer,0.0
cat__location_Delmas-la-Forêt,0.0
cat__location_Delmas,0.0
cat__location_Delaunaydan,0.0
cat__location_DelaunayVille,0.0
cat__location_Delaunay-la-Forêt,0.0
